movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,roi
670,올드보이,올드보이,ko,2003-11-21,120,3000000,17500000,8.252,9150,11.6819,"['드라마', '스릴러', '미스터리', '액션']","['Show East', 'Egg Film', 'Cineclick Asia']",['KR'],2003,11,4.833333333333333
1255,괴물,괴물,ko,2006-07-27,119,11000000,88489643,6.98,2931,4.4383,"['공포', '드라마', 'SF']","['Chungeorahm Film', 'Showbox']",['KR'],2006,7,7.044513
1963,활,활,ko,2005-05-12,88,950000,2032404,6.921,208,1.2098,['드라마'],"['Kim Ki Duk Film', 'Happinet Pictures', 'Cineclick Asia']","['JP', 'KR']",2005,5,1.1393726315789474
2015,밀양,밀양,ko,2007-05-23,142,2900000,11581469,7.193,215,1.6151,['드라마'],"['Cinema Service', 'Pinehouse Film', 'CJ Entertainment']",['KR'],2007,5,2.99361
10253,디 워,디 워,ko,2007-08-01,92,32000000,75108998,4.525,428,2.35,"['판타지', '드라마', '공포', '액션', '스릴러', 'SF']","['Younggu-Art Movies', 'Showbox']",['KR'],2007,8,1.3471561875
14968,웰컴 투 동막골,웰컴 투 동막골,ko,2005-08-04,133,8000000,33579813,7.445,190,1.2664,"['코미디', '드라마', '전쟁']","['Film It Suda', 'Showbox']",['KR'],2005,8,3.197476625
17903,쌍화점,쌍화점,ko,2008-12-30,132,10000000,18980744,6.899,148,4.6242,['드라마'],"['Opus Pictures', 'Showbox', 'United Pictures', 'Sponge']",['KR'],2008,12,0.8980744
18514,두번째 사랑,두번째 사랑,ko,2007-06-20,90,3500000,689473,6.6,44,1.646,"['드라마', '로맨스']","['NOWFILM', 'Vox3 Films']","['KR', 'US']",2007,6,-0.8030077142857143
19627,무림여대생,무림여대생,ko,2008-06-26,118,7000000,162256,6.519,27,1.6496,"['코미디', '로맨스']","['Bear Entertainment', 'Prime Entertainment']",['KR'],2008,6,-0.9768205714285715
22536,박쥐,박쥐,ko,2009-04-30,133,5000000,13085023,7.097,979,3.2794,"['드라마', '공포', '스릴러']",['Moho Film'],['KR'],2009,4,1.6170046
25597,헨젤과 그레텔,헨젤과 그레텔,ko,2007-12-27,116,4000000,2206625,6.7,175,1.5263,"['판타지', '드라마', '공포']","['Barunson E&A', 'Cineclick Asia', 'CJ Entertainment']",['KR'],2007,12,-0.44834375
30018,마더,마더,ko,2009-05-28,128,5000000,17112713,7.71,1578,3.2601,"['범죄', '드라마', '미스터리']","['Barunson E&A', 'CJ Entertainment']",['KR'],2009,5,2.4225426
33196,해운대,해운대,ko,2009-07-22,129,16000000,71641901,6.9,474,2.7069,"['액션', '드라마', '스릴러']","['Polygon Entertainment', 'CJ Entertainment', 'JK Film']",['KR'],2009,7,3.4776188125
35010,슈퍼맨이었던 사나이,슈퍼맨이었던 사나이,ko,2008-01-31,102,4250000,3848034,7.4,64,1.0979,"['코미디', '드라마', '로맨스']",['CJ Entertainment'],['KR'],2008,1,-0.09458023529411765
43212,내 깡패 같은 애인,내 깡패 같은 애인,ko,2010-05-20,105,800000,4214668,6.8,15,1.0436,"['로맨스', '코미디', '드라마']","['Lotte Entertainment', 'JK Film']",['KR'],2010,5,4.268335
49797,악마를 보았다,악마를 보았다,ko,2010-08-12,144,6000000,12966357,7.802,2755,5.6661,"['스릴러', '공포']","['Softbank Ventures', 'Peppermint & Company', 'Siz Entertainment', 'Finecut', 'Michigan Venture Capital', 'Showbox', 'CJ Investment']",['KR'],2010,8,1.1610595
51200,포화 속으로,포화 속으로,ko,2010-06-16,120,10400000,20967660,7.515,201,1.7205,['전쟁'],"['Taewon Entertainment', 'UBU Film', 'H Plus Communication', 'Lotte Entertainment', 'Korean Film Council', 'CJ Entertainment', 'Finecut', 'M-Venture Investment']",['KR'],2010,6,1.0161211538461539
51608,아저씨,아저씨,ko,2010-08-04,119,1255000,43059790,7.699,1380,4.6157,"['액션', '스릴러', '범죄']","['Opus Pictures', 'CJ Entertainment', 'United Pictures', 'M-Line Distribution']",['KR'],2010,8,33.31058964143426
52413,여고괴담 5: 동반자살,여고괴담 5: 동반자살,ko,2009-06-18,88,125000,3470000,5.465,57,2.2197,"['공포', '드라마', '미스터리']","['Cine2000', 'Lotte Entertainment']",['KR'],2009,6,26.76
56604,폐가,폐가,ko,2010-08-19,84,300000,83322,4.5,11,0.3367,"['공포', '미스터리']","['Daisy Entertainment', 'Cinergy House', 'Showbox', 'HY Films']",['KR'],2010,8,-0.72226
70829,라스트 갓파더,라스트 갓파더,en,2010-12-29,103,13400000,16700000,4.2,18,2.824,"['코미디', '범죄', '로맨스']","['Younggu-Art Movies', 'CJ Entertainment']",['KR'],2010,12,0.2462686567164179
77117,써니,써니,ko,2011-05-04,135,3550000,48000000,7.9,175,1.3493,"['드라마', '코미디']",['CJ Entertainment'],['KR'],2011,5,12.52112676056338
79224,최종병기 활,최종병기 활,ko,2011-08-10,122,8000000,49000000,7.258,271,2.3414,"['드라마', '액션', '역사']","['Lotte Entertainment', 'Dasepo Club', 'DCG Plus', 'Sovik Venture Capital']","['KR', 'US']",2011,8,5.125
79553,고지전,고지전,ko,2011-07-20,133,10000000,15786086,7.2,188,1.6644,"['드라마', '액션', '전쟁']","['TPS Company', 'A-Po Films', 'Showbox']",['KR'],2011,7,0.5786086
81481,도가니,도가니,ko,2011-09-22,124,2200000,31500000,8.157,696,2.972,['드라마'],"['Sangeori Pictures', 'Fantagio', 'CJ Entertainment']",['KR'],2011,9,13.318181818181818
82469,더 킥,더 킥,ko,2011-11-03,105,3500000,517069,5.2,39,0.8903,"['코미디', '액션']","['Sahamongkolfilm', 'Baa-Ram-Ewe', 'Bangkok Film Studio', 'CJ Entertainment', 'Golden Network Asia', 'CJ Investment']","['HK', 'KR', 'TH']",2011,11,-0.852266
