제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
공공의 적 2,7.471,2678,,0
몽정기2,3.011,3273,,0
키다리 아저씨,7.371,904,,0
B형 남자친구,4.891,1150,,0
그때 그 사람들,7.441,2396,,0
레드 아이,3.241,811,,0
"제니, 주노",3.661,3483,,0
파송송 계란탁,7.351,1011,,0
마파도,6.141,1271,4.0,3
"여자, 정혜",7.491,656,,0
잠복근무,7.541,1473,,0
달콤한 인생,8.841,6913,,0
댄서의 순정,7.831,2846,,0
역전의 명수,6.881,782,,0
남극일기,5.561,3093,,0
"안녕, 형아",8.301,852,,0
연애술사,7.141,1047,,0
혈의 누,8.031,3382,,0
간 큰 가족,6.871,1113,,0
분홍신,5.611,1292,,0
연애의 목적,8.121,3612,,0
천군,7.121,2666,,0
친절한 금자씨,7.601,10190,,0
박수칠 때 떠나라,7.771,3855,6.8,5
웰컴 투 동막골,8.891,10429,8.0,1
첼로-홍미주 일가 살인사건,4.121,433,2.75,4
강력 3반,6.471,1635,6.0,1
너는 내 운명,9.081,6216,6.6,5
미스터 주부퀴즈왕,8.001,936,5.0,3
외출,5.591,1628,6.333333333333333,6
형사 Duelist,5.891,5677,7.166666666666667,6
내 생애 가장 아름다운 일주일,8.661,3537,6.8,5
새드무비,6.641,2398,5.0,1
야수와 미녀,8.691,3083,4.333333333333333,3
오로라 공주,8.151,2374,5.4,5
광식이 동생 광태,7.831,2226,6.666666666666667,6
나의 결혼원정기,8.381,1956,6.166666666666667,6
무영검,6.821,1146,5.5,4
미스터 소크라테스,7.821,2078,5.5,2
"사랑해, 말순씨",8.051,719,6.0,5
"소년, 천국에 가다",7.691,893,5.333333333333333,3
6월의 일기,7.151,1544,5.0,2
애인,5.971,607,4.0,1
왕의 남자,9.041,34372,6.666666666666667,6
작업의 정석,6.541,3106,5.0,4
청연,7.591,2788,6.333333333333333,6
태풍,6.131,6930,5.666666666666667,6
파랑주의보,5.801,1311,5.0,2
사랑을 놓치다,8.221,2162,6.0,4
싸움의 기술,7.981,3714,5.0,6
야수,7.601,4231,6.0,4
투사부일체,3.271,2773,,0
