movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
670,올드보이,올드보이,2003-11-21,3000000,17500000,8.252,120,2003.0,11.0,10099,박찬욱,64880|10112|1299317|77182|77180,최민식|유지태|강혜정|김병옥|지대한
1255,괴물,괴물,2006-07-27,11000000,88489643,6.98,119,2006.0,7.0,21684,봉준호,20738|116180|21687|21688|21689,송강호|변희봉|박해일|배두나|고아성
1963,활,활,2005-05-12,950000,2032404,6.921,88,2005.0,5.0,1188,김기덕,16262|20265|20263|20264|2463806,Han Yeo-reum|전성환|서지석|전국환|김익태
2015,밀양,밀양,2007-05-23,2900000,11581469,7.193,142,2007.0,5.0,96657,이창동,20737|20738|96467|2775961|135850,전도연|송강호|조영진|선정엽|김영재
4550,친절한 금자씨,친절한 금자씨,2005-07-29,0,23803308,7.531,112,2005.0,7.0,10099,박찬욱,25001|64880|1117876|1255409|1299277,이영애|최민식|Kwon Yea-young|김시후|남일우
5488,싸이보그지만 괜찮아,싸이보그지만 괜찮아,2006-12-07,0,4354510,7.025,105,2006.0,12.0,10099,박찬욱,37940|112013|77188|3696482|3697681,임수정|비|오달수|Lee Yeong-mi|김춘기
8652,비몽,비몽,2008-10-09,0,0,6.6,95,2008.0,10.0,1188,김기덕,63694|123408|1145852|118694|1232910,オダギリジョー|이나영|박지아|진태현|장미희
8938,도쿄!,TOKYO!,2008-08-16,0,1133863,6.9,112,2008.0,8.0,21684,봉준호,84029|33517|9707|58604|80108,藤谷文子|加瀬亮|伊藤歩|大森南朋|妻夫木聡
10039,연리지,연리지,2006-04-13,0,0,6.7,105,2006.0,4.0,62335,Kim Seong-jung,62333|1307322|62332|75914|62336,최지우|조한선|최성국|서영희|진희경
10253,디 워,디 워,2007-08-01,32000000,75108998,4.525,92,2007.0,8.0,64331,심형래,20386|64341|5694|64342|56457,Jason Behr|Amanda Brooks|Robert Forster|Craig Robinson|Aimee Garcia
10259,로망스,로망스,2006-03-16,0,0,5.5,106,2006.0,3.0,64452,문승욱,64453|64456|64455|64454|141541,조재현|김지수|장현성|기주봉|윤제문
11344,달콤한 인생,달콤한 인생,2005-04-01,0,7600000,7.447,120,2005.0,4.0,69081,김지운,25002|69080|116175|69379|125734,이병헌|김영철|신민아|김뢰하|이기영
11658,태극기 휘날리며,태극기 휘날리며,2004-02-05,1500000,0,7.993,148,2004.0,2.0,64883,강제규,16962|70336|70337|70338|1432841,장동건|원빈|이은주|공형진|이영란
13311,홀리데이,홀리데이,2006-01-19,0,0,6.4,120,2006.0,1.0,87086,양윤호,139515|127798|87786|16264|79579,이성재|최민수|장세진|이얼|문영동
13407,파랑주의보,파랑주의보,2005-12-22,0,0,6.6,95,2005.0,12.0,74422,전윤수,74421|63442|566367|93252|939138,송혜교|차태현|이순재|김해숙|송창의
13855,추격자,추격자,2008-02-14,2600000,0,7.749,123,2008.0,2.0,75915,나홍진,75912|75913|75914|140335|240082,김윤석|하정우|서영희|김유정|정인기
14763,무영검,무영검,2005-11-18,0,3868257,6.235,104,2005.0,11.0,83628,Kim Young-jun,77282|77281|77283|77280|139493,이서진|윤소이|Lee Ki-Yong|신현준|박성웅
14968,웰컴 투 동막골,웰컴 투 동막골,2005-08-04,8000000,33579813,7.445,133,2005.0,8.0,117370,박광현,83682|25004|1299317|117378|239927,정재영|신하균|강혜정|Steve Taschler|임하룡
