movieCd,movieNm,openDt
20050049,주먹이 운다(Crying Fist),20050401
20050017,달콤한 인생,20050401
20050333,왕의 남자,20051229
20050219,가문의 위기,20050907
20050330,작업의 정석,20051221
20050283,"소년, 천국에 가다",20051111
20050106,극장전,20050526
20050029,엄마,20050407
20050076,혈의 누,20050504
20050305,나의 결혼원정기,20051123
20050153,목두기 비디오,20050715
20050245,사랑니,20050929
20050232,내 생애 가장 아름다운 일주일,20051007
20050045,"안녕, 형아",20050527
20050292,광식이 동생 광태,20051123
20040774,몽정기2,20050114
20050007,그때 그 사람들,20050203
20050239,너는 내 운명,20050923
20050148,친절한 금자씨,20050729
20050077,댄서의 순정,20050428
20050342,청연,20051229
20050180,웰컴 투 동막골,20050804
20050163,왕후 심청,20050811
20050216,형사 Duelist,20050908
20050280,미스터 소크라테스,20051110
20050241,빛나는 거짓,20050916
20050008,B형 남자친구,20050203
20050135,분홍신,20050630
20050083,연애술사,20050520
20050046,남극일기,20050519
20050233,강력 3반,20050929
20040775,키다리 아저씨,20050114
20050011,파송송 계란탁,20050218
20040778,마파도,20050310
20050110,연애의 목적,20050610
20050178,박수칠 때 떠나라,20050811
20050160,가발,20050812
20050282,러브토크,20051111
20050323,연애,20051209
20050220,외출,20050907
20040786,공공의 적 2,20050127
20050288,무영검,20051118
20040785,말아톤,20050127
20050197,종려나무 숲,20050915
20050271,오로라 공주,20051027
20050303,용서받지 못한 자,20051118
20040751,"여자, 정혜",20050310
20050326,태풍,20051214
20050055,나는 나를 파괴할 권리가 있다,20050415
20050064,간 큰 가족,20050609
20050237,미스터 주부퀴즈왕,20050930
20050306,애인,20051208
20050261,야수와 미녀,20051027
20050013,잠복근무,20050317
20050141,천군,20050715
20050015,태풍태양,20050602
20050189,"이대로, 죽을 순 없다(Short Time)",20050818
20050332,파랑주의보,20051222
20050276,"사랑해, 말순씨",20051103
20050190,첼로-홍미주 일가 살인사건,20050818
20050111,녹색의자,20050609
20050318,6월의 일기,20051201
20050256,새드무비,20051020
20050236,동백꽃,20050916
20050224,거칠마루,20050915
20040793,"제니, 주노",20050218
20050240,별별 이야기,20050923
20040772,역전의 명수,20050415
20050204,바리바리 짱,20050819
20050142,여고괴담 4 : 목소리,20050715
20040800,당시,20050520
20048020,철수♡영희,20050107
20050316,다섯은 너무 많아,20051125
20050227,한길수,20050923
20030118,초승달과 밤배,20050825
20040626,그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습,20050728
20040788,깃,20050114
20050036,가능한 변화들,20050318
20040771,레드 아이,20050218
20050102,활,20050512
20050328,"안녕, 사요나라",20051125
20050100,프락치,20050520
20060247,해변의 여인,20060831
20060353,해바라기,20061123
20050355,음란서생,20060223
20060176,양아치어조,20060623
20060017,흡혈형사 나도열,20060209
20060151,괴물,20060727
20050349,홀리데이,20060119
20060284,라디오 스타,20060928
20060125,"생, 날선생",20060525
20060277,타짜,20060928
20060387,미녀는 괴로워,20061214
20060077,연리지,20060413
20060229,아이스케키,20060824
20060272,구미호 가족,20060928
20050344,여교수의 은밀한 매력,20060316
20060100,사생결단,20060427
20050313,아치와 씨팍,20060628
20060147,한반도,20060713
20060123,가족의 탄생,20060518
20060384,고마운 사람,20060113
20060134,짝패,20060525
20060368,방문자,20061115
20060062,망종,20060324
20060137,비열한 거리,20060615
20060210,스승의 은혜,20060803
20060157,아랑,20060628
20060228,시간,20060824
20060373,조용한 세상,20061214
20060244,우리들의 행복한 시간,20060914
20060070,구타유발자들,20060531
20060088,마이 캡틴 김대출,20060420
20060292,거룩한 계보,20061019
20060261,열혈남아,20061109
20060352,누가 그녀와 잤을까?,20061116
20060273,삼거리극장,20061123
20060339,사랑할 때 이야기하는 것들,20061130
20060019,구세주,20060216
20060225,예의없는 것들,20060824
20050363,투사부일체,20060119
20050354,사랑을 놓치다,20060126
20060025,손님은 왕이다,20060223
20060046,방과후 옥상,20060316
20060047,로망스,20060316
20060055,"모두들, 괜찮아요?",20060324
20060068,"달콤, 살벌한 연인",20060406
20060081,피터팬의 공식,20060413
20060085,도마뱀,20060427
20060093,국경의 남쪽,20060504
20060207,2월 29일 - 어느날 갑자기 첫번째 이야기,20060721
20060208,네번째 층 - 어느날 갑자기 두번째 이야기,20060727
20060191,플라이 대디,20060803
20060227,D-day-어느날 갑자기 세번째 이야기,20060803
20060248,죽음의 숲-어느날 갑자기 네번째 이야기,20060817
20060242,"연애, 그 참을 수 없는 가벼움",20060907
20060234,"두뇌유희프로젝트, 퍼즐",20060914
20061252,배낭을 멘 소년 ,20060113
20050346,싸움의 기술,20060105
20060222,천하장사 마돈나,20060831
20060356,싸이보그지만 괜찮아,20061207
20060015,백만장자의 첫사랑,20060209
20060316,사랑 따윈 필요 없어,20061109
20060214,각설탕,20060810
20060160,아파트,20060706
20060344,아주 특별한 손님,20061130
20060288,가을로,20061026
20060338,그해 여름,20061130
20060218,다세포소녀,20060810
20060265,브레인웨이브,20060831
20060005,맨발의 기봉이,20060426
20060257,가문의 부활 - 가문의 영광3,20060921
20060112,공필두,20060511
20060279,마음이...,20061026
20060224,신데렐라,20060817
20050345,야수,20060112
20060357,조폭마누라3,20061228
20060051,청춘만화,20060323
20060124,호로비츠를 위하여,20060525
20060069,마법사들,20060330
20061251,남자니까 아시잖아요?,20060113
20050312,눈부신 하루,20060223
20060231,뚝방전설,20060907
20060245,원탁의 천사,20060824
20050350,데이지,20060309
20060370,중천,20061221
20060200,내 청춘에게 고함,20060713
20060341,후회하지 않아,20061116
20060243,사이에서,20060907
20060028,신성일의 행방불명,20060216
20060298,8월의 일요일들,20060929
20060138,강적,20060622
20060198,호박전,20060622
20060236,폭력써클,20061019
20060355,세번째 시선,20061123
20050356,다섯 개의 시선,20060113
20060220,"사랑하니까, 괜찮아",20060817
20060276,무도리,20060921
20050308,카리스마 탈출기,20060330
20060396,올드미스다이어리,20061221
20050357,"온 더 로드, 투",20060105
20060308,길,20061102
20060369,Mr.로빈 꼬시기,20061207
20060180,파이스토리,20060706
20061250,언니가 이해하셔야 돼요,20060113
20060393,비상,20061214
20060381,제3회 롯데시네마 삼색아트필름전[2006.11.27-12.06],20061127
20060289,일본인디필름페스티벌,20060630
20060378,애니 프란체스카,20061123
20060283,애정결핍이 두 남자에게 미치는 영향,20061116
20060280,잔혹한 출근,20061102
20060291,잘 살아보세,20060928
20060175,비단구두,20060622
20060135,모노폴리,20060601
20060053,창공으로,20060421
20060027,달려라 장미,20060210
20060014,썬데이 서울,20060209
20060101,CGV 한국단편 애니메이션영화제2006[4.20-4.23],20060422
20060382,서울독립영화제2006,20061207
20070489,이브의 유혹 - 키스,20070813
20070490,이브의 유혹 - 그녀만의 테크닉,20070820
20070250,해부학 교실,20070711
20070170,상어,20070510
20070547,판타스틱 자살소동,20071108
20070104,극락도 살인사건,20070412
20070435,식객,20071101
20070262,기담,20070801
20070358,어머니는 죽지 않는다,20070912
20070393,브라보 마이 라이프,20070906
20070115,밀양,20070523
20070206,두 번째 사랑,20070621
20070643,헨젤과 그레텔,20071227
20060389,오래된 정원,20070104
20070497,궁녀,20071018
20070666,수용소의 삶 : 디지털 삼인삼색 2007,20071129
20070552,은하해방전선,20071129
20070377,방황의 날들,20070907
20070014,1번가의 기적,20070214
20060417,최강로맨스,20070125
20060408,천년여우 여우비,20070125
20070023,어깨 너머의 연인,20071018
20070466,세븐 데이즈,20071114
20070500,펀치레이디,20071025
20060230,전설의 고향,20070523
20070126,이대근 이 댁은,20070501
20070109,파란자전거,20070419
20070418,괜찮아 울지마,20070830
20070289,리턴,20070808
20070367,지금 사랑하는 사람과 살고 있습니까?,20070815
20070421,권순분여사 납치사건,20070912
20070380,즐거운 인생,20070913
20070434,바르게 살자,20071018
20072520,우리 동네,20071129
20070610,싸움,20071212
