제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
말아톤,9.23,5418,,0
엄마,6.90,258,,0
주먹이 운다(Crying Fist),8.95,3382,,0
여고괴담 4 : 목소리,5.15,866,,0
가발,5.19,647,4.8,5
이대로, 죽을 순 없다(Short Time),6.53,785,4.667,3
가문의 위기,6.33,3660,5.0,5
사랑니,5.68,1100,6.8,5
구세주,6.73,2.43,3.25,4
도마뱀,7.17,1391,4.5,4
생, 날선생,4.08,806,3.0,2
2월 29일 - 어느날 갑자기 첫번째 이야기,7.38,591,,0
네번째 층 - 어느날 갑자기 두번째 이야기,6.76,355,,0
아파트,4.87,1745,4.667,3
예의없는 것들,7.32,2588,5.0,2
해변의 여인,5.81,914,7.2,5
마강호텔,4.97,636,5.0,1
뷰티풀 선데이,7.36,1223,5.5,2
수,3.69,1213,6.429,7
황진이,5.35,3332,5.6,5
므이,5.30,711,5.0,4
디워,7.52,44082,4.8,5
브라보 마이 라이프,8.01,557,,0
마을금고 연쇄습격사건,5.10,541,4.0,1
바보,8.06,3394,5.0,1
집결호,6.91,957,5.75,4
삼국지:용의 부활,6.52,2527,4.0,1
잘못된 만남,5.95,331,4.0,1
고死 : 피의 중간고사,6.82,6820,3.0,3
아기와 나,6.66,151,6.25,4
트럭,6.86,1898,3.0,4
미인도,6.39,4294,5.25,8
마린보이,6.65,2201,5.375,8
내 사랑 내 곁에,7.05,6250,5.975,10
애자,8.76,4579,6.3125,8
파주,7.16,1350,7.35,10
내 눈에 콩깍지,4.20,765,2.0,1
킬 미,6.37,454,4.417,3
걸프렌즈,4.90,556,5.1875,4
식객2 : 김치전쟁,7.20,2443,6.3125,4
웨딩드레스,9.09,2236,5.5,2
꿈은 이루어진다,7.12,885,4.0,1
내 깡패 같은 애인,9.08,5895,6.9375,8
대한민국 1%,6.31,1721,5.5625,4
고死 두 번째 이야기: 교생실습,4.74,8178,1.667,3
해결사,7.56,4749,5.821,7
심야의 F.M.,6.82,3046,5.036,7
참을 수 없는,7.41,427,5.833,3
나는 아빠다,5.64,810,4.0,1
오늘,8.04,1197,5.791,6
코리아,8.56,6730,5.0,8
간첩,7.15,3813,5.1875,4
남영동1985,7.25,6736,8.0,9
내가 살인범이다,8.49,11696,6.6875,8
배우는 배우다,6.71,1370,6.041,6
화이: 괴물을 삼킨 아이,7.85,6430,7.083,9
캐치미,6.67,2095,3.333,3
해무(海霧),6.70,7345,6.286,7
레드카펫,8.28,2066,5.667,3
서부전선,6.22,3511,5.833,6
비밀,4.62,727,4.8125,4
나를 잊지 말아요,6.74,2934,4.357,7
시간이탈자,6.87,5274,5.025,10
사랑하기 때문에,7.95,1734,6.0,1
루시드 드림,5.60,1708,3.0,4
시간위의 집,7.44,1666,4.714,7
아빠는 딸,7.86,2318,4.0,2
하루,6.89,3490,4.6,5
치즈인더트랩,4.96,2493,4.0,2
챔피언,6.12,3526,5.429,7
마녀,8.15,21397,5.625,8
여중생A,6.20,1726,6.0,2
탐정: 리턴즈,8.07,6390,6.0,4
허스토리,9.24,2052,6.667,9
독전: 익스텐디드 컷,8.20,15,,0
변산,7.68,4866,6.5,4
속닥속닥,4.96,2932,3.5,2
신비아파트: 금빛 도깨비와 비밀의 동굴,8.23,335,6.0,1
인랑,3.73,13823,5.7,10
공작,6.44,16233,6.9,10
극장판 헬로카봇 : 백악기 시대,8.87,378,6.0,1
너의 결혼식,8.21,11954,6.571,7
목격자,4.11,11480,5.25,8
상류사회,3.83,4431,4.4,5
신과함께-인과 연,7.24,26374,6.4,10
극장판 뽀잉: 슈퍼 변신의 비밀,9.78,40,7.0,2
명당,6.76,5799,5.8,10
물괴,4.60,6552,4.5,8
안시성,7.70,22799,6.222,9
원더풀 고스트,6.52,3356,4.833,6
