movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month
670,올드보이,올드보이,ko,2003-11-21,120,3000000,17500000,8.252,9150,11.6819,"['드라마', '스릴러', '미스터리', '액션']","['Show East', 'Egg Film', 'Cineclick Asia']",['KR'],2003.0,11.0
1255,괴물,괴물,ko,2006-07-27,119,11000000,88489643,6.98,2931,4.4383,"['공포', '드라마', 'SF']","['Chungeorahm Film', 'Showbox']",['KR'],2006.0,7.0
1963,활,활,ko,2005-05-12,88,950000,2032404,6.921,208,1.2098,['드라마'],"['Kim Ki Duk Film', 'Happinet Pictures', 'Cineclick Asia']","['JP', 'KR']",2005.0,5.0
2015,밀양,밀양,ko,2007-05-23,142,2900000,11581469,7.193,215,1.6151,['드라마'],"['Cinema Service', 'Pinehouse Film', 'CJ Entertainment']",['KR'],2007.0,5.0
4550,친절한 금자씨,친절한 금자씨,ko,2005-07-29,112,0,23803308,7.5,1752,3.348,"['드라마', '스릴러']","['TSJ Entertainment', 'Ilshin Capital Investments', 'Centurion Investment', 'Moho Film', 'CJ Entertainment', 'CJ Investment']",['KR'],2005.0,7.0
5488,싸이보그지만 괜찮아,싸이보그지만 괜찮아,ko,2006-12-07,105,0,4354510,7.025,543,1.5675,"['드라마', '코미디', '로맨스']","['Moho Film', 'CJ Entertainment']",['KR'],2006.0,12.0
8652,비몽,비몽,ko,2008-10-09,95,0,0,6.6,69,2.3197,"['드라마', '미스터리', '판타지', '로맨스']","['Kim Ki Duk Film', 'Sponge']",['KR'],2008.0,10.0
8938,도쿄!,TOKYO!,ja,2008-08-16,112,0,1133863,6.9,242,1.9653,"['코미디', '드라마', '판타지', '로맨스']","['ARTE France Cinéma', 'Wild Bunch', 'Bitters End', 'Backup Media', 'Comme des Cinémas', 'WDR/Arte', 'Hakuhodo DY Media Partners', 'Coin Film', 'Kansai Television', 'Sponge', 'VAP', 'Champion Top Investment', 'Picnic', 'WOWOW', 'Asahi Broadcasting Corporation']","['KR', 'DE', 'JP', 'FR']",2008.0,8.0
10039,연리지,연리지,ko,2006-04-13,105,0,0,6.7,9,1.4317,"['드라마', '로맨스']","['Taewon Entertainment', 'CJ Entertainment', 'Yedang Entertainment', 'Showbox', 'KTB Network', 'White Lee Entertainment', 'KM Culture']",['KR'],2006.0,4.0
10253,디 워,디 워,ko,2007-08-01,92,32000000,75108998,4.525,428,2.35,"['판타지', '드라마', '공포', '액션', '스릴러', 'SF']","['Younggu-Art Movies', 'Showbox']",['KR'],2007.0,8.0
10259,로망스,로망스,ko,2006-03-16,106,0,0,5.5,4,0.5061,"['드라마', '로맨스']","['LJ Film', 'CJ Entertainment']",['KR'],2006.0,3.0
11344,달콤한 인생,달콤한 인생,ko,2005-04-01,120,0,7600000,7.446,925,3.1818,"['액션', '드라마', '범죄']","['Bom Film Productions', 'CJ Entertainment']",['KR'],2005.0,4.0
11658,태극기 휘날리며,태극기 휘날리며,ko,2004-02-05,148,1500000,0,7.993,722,1.5857,"['액션', '모험', '드라마', '역사', '전쟁']","['Kang Je-gyu Films', 'KD Media', 'Seoul Broadcasting System', 'Tooniverse', 'Destination Films', 'Samuel Goldwyn Films', 'Showbox']","['KR', 'US']",2004.0,2.0
13311,홀리데이,홀리데이,ko,2006-01-19,120,0,0,6.4,34,1.0497,"['드라마', '범죄', '스릴러']",['Lotte Entertainment'],['KR'],2006.0,1.0
13407,파랑주의보,파랑주의보,ko,2005-12-22,95,0,0,6.6,35,1.3986,"['드라마', '로맨스']","['iFilm', 'iLoveCinema']",['KR'],2005.0,12.0
13855,추격자,추격자,ko,2008-02-14,123,2600000,0,7.749,1408,4.5338,"['범죄', '스릴러', '액션']",['Bidangil Pictures'],['KR'],2008.0,2.0
14763,무영검,무영검,ko,2005-11-18,104,0,3868257,6.235,66,1.7549,"['액션', '모험']","['Taewon Entertainment', 'CJ Entertainment', 'Yedang Entertainment', 'China Film Co-Production Corp.', 'New Line Cinema']","['CN', 'KR']",2005.0,11.0
14968,웰컴 투 동막골,웰컴 투 동막골,ko,2005-08-04,133,8000000,33579813,7.445,190,1.2664,"['코미디', '드라마', '전쟁']","['Film It Suda', 'Showbox']",['KR'],2005.0,8.0
15067,"좋은 놈, 나쁜 놈, 이상한 놈","좋은 놈, 나쁜 놈, 이상한 놈",ko,2008-07-16,139,10000000,0,7.2,754,2.4693,"['액션', '모험', '코미디', '서부']","['CJ Entertainment', 'Cineclick Asia', 'Barunson E&A', 'Dark Circle Pictures']",['KR'],2008.0,7.0
15286,마린보이,마린보이,ko,2009-02-05,118,0,3923970,5.6,24,1.5582,"['액션', '스릴러']","['Realies Pictures', 'CJ Entertainment']",['KR'],2009.0,2.0
16882,GP506,GP506,ko,2008-04-03,121,0,0,5.5,63,0.7586,"['공포', '미스터리']","['Motis Productions', 'Lotte Entertainment', 'Michigan Venture Capital', 'Boston Investments', 'Showbox']",['KR'],2008.0,4.0
17593,영화는 영화다,영화는 영화다,ko,2008-09-11,112,0,0,6.9,86,1.5448,"['액션', '범죄', '드라마']","['Sponge', 'Kim Ki Duk Film', 'Seoul Broadcasting System', 'CJ Entertainment', 'Tube Entertainment', 'Showbox']",['KR'],2008.0,9.0
17693,가벼운 잠,가벼운 잠,ko,2008-10-23,93,0,0,6.6,5,0.2772,['드라마'],['Kino-Eye Films'],['KR'],2008.0,10.0
17903,쌍화점,쌍화점,ko,2008-12-30,132,10000000,18980744,6.899,148,4.6242,['드라마'],"['Opus Pictures', 'Showbox', 'United Pictures', 'Sponge']",['KR'],2008.0,12.0
18374,7급 공무원,7급 공무원,ko,2009-04-04,112,0,0,6.214,98,0.7516,"['액션', '코미디', '로맨스']","['DCG Plus', 'Soojak Film', 'Lotte Entertainment', 'Harimao Pictures', 'Sponge']",['KR'],2009.0,4.0
18377,미녀는 괴로워,미녀는 괴로워,ko,2006-12-14,120,4000000,0,6.8,328,2.844,"['드라마', '코미디', '로맨스']","['KM Culture', 'Realies Pictures', 'Michigan Venture Capital', 'Showbox']",['KR'],2006.0,12.0
