movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,director,actors
670,올드보이,올드보이,ko,2003-11-21,120,3000000,17500000,8.252,9150,11.6819,"['드라마', '스릴러', '미스터리', '액션']","['Show East', 'Egg Film', 'Cineclick Asia']",['KR'],2003.0,11.0,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han"
1255,괴물,괴물,ko,2006-07-27,119,11000000,88489643,6.98,2931,4.4383,"['공포', '드라마', 'SF']","['Chungeorahm Film', 'Showbox']",['KR'],2006.0,7.0,Bong Joon Ho,"Song Kang-ho, Byun Hee-bong, Park Hae-il, Bae Doona, Ko A-sung"
1963,활,활,ko,2005-05-12,88,950000,2032404,6.921,208,1.2098,['드라마'],"['Kim Ki Duk Film', 'Happinet Pictures', 'Cineclick Asia']","['JP', 'KR']",2005.0,5.0,Kim Ki-duk,"Han Yeo-reum, Jeon Seong-hwan, Seo Ji-seok, Jeon Kuk-hwan, Kim Ik-tae"
2015,밀양,밀양,ko,2007-05-23,142,2900000,11581469,7.193,215,1.6151,['드라마'],"['Cinema Service', 'Pinehouse Film', 'CJ Entertainment']",['KR'],2007.0,5.0,Lee Chang-dong,"Jeon Do-yeon, Song Kang-ho, Jo Young-jin, Seon Jeong-yeop, Kim Young-jae"
4550,친절한 금자씨,친절한 금자씨,ko,2005-07-29,112,0,23803308,7.5,1752,3.348,"['드라마', '스릴러']","['TSJ Entertainment', 'Ilshin Capital Investments', 'Centurion Investment', 'Moho Film', 'CJ Entertainment', 'CJ Investment']",['KR'],2005.0,7.0,Park Chan-wook,"Lee Young-ae, Choi Min-sik, Kwon Yea-young, Kim Si-hoo, Nam Il-woo"
5488,싸이보그지만 괜찮아,싸이보그지만 괜찮아,ko,2006-12-07,105,0,4354510,7.025,543,1.5675,"['드라마', '코미디', '로맨스']","['Moho Film', 'CJ Entertainment']",['KR'],2006.0,12.0,Park Chan-wook,"Lim Soo-jung, Rain, Oh Dal-su, Lee Yeong-mi, Kim Chun-gi"
8652,비몽,비몽,ko,2008-10-09,95,0,0,6.6,69,2.3197,"['드라마', '미스터리', '판타지', '로맨스']","['Kim Ki Duk Film', 'Sponge']",['KR'],2008.0,10.0,Kim Ki-duk,"Joe Odagiri, Lee Na-young, Park Ji-a, Jin Tae-hyeon, Chang Mi-hee"
8938,도쿄!,TOKYO!,ja,2008-08-16,112,0,1133863,6.9,242,1.9653,"['코미디', '드라마', '판타지', '로맨스']","['ARTE France Cinéma', 'Wild Bunch', 'Bitters End', 'Backup Media', 'Comme des Cinémas', 'WDR/Arte', 'Hakuhodo DY Media Partners', 'Coin Film', 'Kansai Television', 'Sponge', 'VAP', 'Champion Top Investment', 'Picnic', 'WOWOW', 'Asahi Broadcasting Corporation']","['KR', 'DE', 'JP', 'FR']",2008.0,8.0,Bong Joon Ho,"Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Omori, Satoshi Tsumabuki"
10039,연리지,연리지,ko,2006-04-13,105,0,0,6.7,9,1.4317,"['드라마', '로맨스']","['Taewon Entertainment', 'CJ Entertainment', 'Yedang Entertainment', 'Showbox', 'KTB Network', 'White Lee Entertainment', 'KM Culture']",['KR'],2006.0,4.0,Kim Seong-jung,"Choi Ji-woo, Jo Han-sun, Choi Sung-kook, Seo Young-hee, Jin Hee-kyung"
10253,디 워,디 워,ko,2007-08-01,92,32000000,75108998,4.525,428,2.35,"['판타지', '드라마', '공포', '액션', '스릴러', 'SF']","['Younggu-Art Movies', 'Showbox']",['KR'],2007.0,8.0,Shim Hyung-rae,"Jason Behr, Amanda Brooks, Robert Forster, Craig Robinson, Aimee Garcia"
