movieCd,movieNm,openDt
20050120,피크닉,20050623
20050225,찰리와 초콜릿 공장,20050916
20050010,콘스탄틴,20050208
20040683,스왈로우테일 버터플라이,20050623
20050244,마태복음,20050901
20050049,주먹이 운다(Crying Fist),20050401
20050017,달콤한 인생,20050401
20040798,클로저,20050203
20050333,왕의 남자,20051229
20050082,이터널 선샤인,20051110
20050238,칠검,20050929
20050219,가문의 위기,20050907
20050330,작업의 정석,20051221
20050283,"소년, 천국에 가다",20051111
20050106,극장전,20050526
20050029,엄마,20050407
20050257,케이브,20051020
20050076,혈의 누,20050504
20050094,소녀검객 아즈미 대혈전 2,20050429
20050305,나의 결혼원정기,20051123
20050226,토니 타키타니,20050922
20050153,목두기 비디오,20050715
20050340,내 미국 삼촌,20051223
20050245,사랑니,20050929
20050270,과거가 없는 남자,20051014
20050162,카페 뤼미에르,20051020
20050232,내 생애 가장 아름다운 일주일,20051007
20050123,에로스,20050630
20050045,"안녕, 형아",20050527
20050292,광식이 동생 광태,20051123
20040774,몽정기2,20050114
20050007,그때 그 사람들,20050203
20050118,릴리 슈슈의 모든 것,20050623
20050310,해리 포터와 불의 잔,20051201
20050042,"지금, 만나러 갑니다",20050325
20040784,시티 오브 갓,20051104
20050112,배트맨 비긴즈,20050624
20050239,너는 내 운명,20050923
20050009,몽상가들,20050325
20050148,친절한 금자씨,20050729
20050077,댄서의 순정,20050428
20050342,청연,20051229
20050180,웰컴 투 동막골,20050804
20050163,왕후 심청,20050811
20050216,형사 Duelist,20050908
20050173,갇힌 여인,20051223
20050164,더 독,20050916
20050027,코러스,20050303
20050041,인게이지먼트,20050311
20050028,밀리언 달러 베이비,20050310
20050280,미스터 소크라테스,20051110
20040790,뉴 폴리스 스토리,20050121
20050025,피와 뼈,20050225
20050250,당신이 사랑하는 동안에,20051013
20050038,아무도 모른다,20050401
20050241,빛나는 거짓,20050916
20050078,킹덤 오브 헤븐,20050504
20050008,B형 남자친구,20050203
20050135,분홍신,20050630
20050083,연애술사,20050520
20040744,샤크,20050107
20050046,남극일기,20050519
20050233,강력 3반,20050929
20040776,쿵푸 허슬,20050114
20040775,키다리 아저씨,20050114
20050011,파송송 계란탁,20050218
20040778,마파도,20050310
20050110,연애의 목적,20050610
20050178,박수칠 때 떠나라,20050811
20050160,가발,20050812
20050282,러브토크,20051111
20050323,연애,20051209
20050220,외출,20050907
20040786,공공의 적 2,20050127
20050288,무영검,20051118
20040785,말아톤,20050127
20050197,종려나무 숲,20050915
20050271,오로라 공주,20051027
20050303,용서받지 못한 자,20051118
20040751,"여자, 정혜",20050310
20050326,태풍,20051214
20050055,나는 나를 파괴할 권리가 있다,20050415
20050324,킹콩,20051214
20050064,간 큰 가족,20050609
20050237,미스터 주부퀴즈왕,20050930
20050306,애인,20051208
20050261,야수와 미녀,20051027
20050013,잠복근무,20050317
20050141,천군,20050715
20050174,사우스 스트리트의 소매치기 ,20050707
20050365,올리버 트위스트,20051229
20050015,태풍태양,20050602
20050189,"이대로, 죽을 순 없다(Short Time)",20050818
20050093,폼포코 너구리 대작전,20050428
20050258,신화 : 진시황릉의 비밀,20051013
20050332,파랑주의보,20051222
20050252,신주쿠 여고생 납치사건(완전한 사육),20051014
20050276,"사랑해, 말순씨",20051103
20050203,로렌조의 밤,20050819
20050139,인 디스 월드,20050707
20060092,린다 린다 린다,20060413
20060347,판의 미로 - 오필리아와 세 개의 열쇠,20061130
20060082,매치 포인트,20060413
20060045,스윙걸즈,20060323
20060247,해변의 여인,20060831
20060143,언러브드,20060524
20060353,해바라기,20061123
20060022,폭풍우 치는 밤에,20060209
20060221,기묘한 서커스,20061019
20060011,죽여주는 여자,20060112
20050355,음란서생,20060223
20060176,양아치어조,20060623
20060017,흡혈형사 나도열,20060209
20060151,괴물,20060727
20060314,보리밭을 흔드는 바람,20061102
20060330,녹차의 맛,20061123
20050349,홀리데이,20060119
20060284,라디오 스타,20060928
20060363,디어 평양,20061123
20060337,디파티드,20061123
20060125,"생, 날선생",20060525
20060006,메종 드 히미코,20060126
20060048,브이 포 벤데타,20060316
20060258,야연,20060921
20060095,콘스탄트 가드너,20060504
20060250,귀향,20060921
20060365,수면의 과학,20061221
20060386,황혼의 빛,20061214
20060277,타짜,20060928
20060387,미녀는 괴로워,20061214
20060077,연리지,20060413
20060229,아이스케키,20060824
20060272,구미호 가족,20060928
20050344,여교수의 은밀한 매력,20060316
20060100,사생결단,20060427
20050313,아치와 씨팍,20060628
20060147,한반도,20060713
20060008,더 차일드,20060127
20060061,히든,20060330
20060123,가족의 탄생,20060518
20060384,고마운 사람,20060113
20060134,짝패,20060525
20060089,식스틴블럭,20060420
20060114,퍼펙트 스트레인저,20060504
20060040,브로크백 마운틴,20060301
20060368,방문자,20061115
20060050,무인 곽원갑,20060323
20060334,스텝 업,20061123
20060255,호텔 르완다,20060907
20050362,게이샤의 추억,20060202
20060062,망종,20060324
20060013,타임 투 리브,20060209
20060388,위대한 탄생,20061221
20060201,커피와 담배,20060727
20060137,비열한 거리,20060615
20060264,악마는 프라다를 입는다,20061025
20060210,스승의 은혜,20060803
20060157,아랑,20060628
20060333,다케시즈,20061207
20060104,노스 컨츄리,20060427
20060301,데스노트,20061102
20060228,시간,20060824
20060373,조용한 세상,20061214
20060244,우리들의 행복한 시간,20060914
20060070,구타유발자들,20060531
20060088,마이 캡틴 김대출,20060420
20060292,거룩한 계보,20061019
20060261,열혈남아,20061109
20060352,누가 그녀와 잤을까?,20061116
20060273,삼거리극장,20061123
20060339,사랑할 때 이야기하는 것들,20061130
20060019,구세주,20060216
20060225,예의없는 것들,20060824
20050363,투사부일체,20060119
20050354,사랑을 놓치다,20060126
20060025,손님은 왕이다,20060223
20060046,방과후 옥상,20060316
20060047,로망스,20060316
20060055,"모두들, 괜찮아요?",20060324
20060068,"달콤, 살벌한 연인",20060406
20060081,피터팬의 공식,20060413
20060085,도마뱀,20060427
20060093,국경의 남쪽,20060504
20060207,2월 29일 - 어느날 갑자기 첫번째 이야기,20060721
20060208,네번째 층 - 어느날 갑자기 두번째 이야기,20060727
20060191,플라이 대디,20060803
20060227,D-day-어느날 갑자기 세번째 이야기,20060803
20060248,죽음의 숲-어느날 갑자기 네번째 이야기,20060817
20060242,"연애, 그 참을 수 없는 가벼움",20060907
20060234,"두뇌유희프로젝트, 퍼즐",20060914
20061252,배낭을 멘 소년 ,20060113
20050346,싸움의 기술,20060105
20060021,다섯번째 계절,20060209
20060222,천하장사 마돈나,20060831
20060356,싸이보그지만 괜찮아,20061207
20060015,백만장자의 첫사랑,20060209
20060083,내 곁에 있어줘,20060427
20060316,사랑 따윈 필요 없어,20061109
20060214,각설탕,20060810
20060160,아파트,20060706
20070008,스쿠프,20070201
20070122,혐오스런 마츠코의 일생,20070412
20070670,크리스마스에 기적을 만날 확률,20071212
20070582,"색, 계",20071108
20070517,왕립우주군-오네아미스의 날개 ,20071018
20070501,히어로,20071101
20070585,어거스트 러쉬,20071129
20070489,이브의 유혹 - 키스,20070813
20070490,이브의 유혹 - 그녀만의 테크닉,20070820
20070029,블랙북,20070329
20070068,타인의 삶,20070322
20070454,원스,20070920
20070250,해부학 교실,20070711
20070255,만덜레이,20070726
20070170,상어,20070510
20070547,판타스틱 자살소동,20071108
20070059,판타스틱 4: 실버 서퍼의 위협,20070808
20070430,레인 오버 미,20070906
20070216,시간을 달리는 소녀,20070614
20070104,극락도 살인사건,20070412
20070665,안경,20071129
20070040,태양의 노래,20070222
20070303,조디악,20070815
20070184,줄 위의 종달새,20070517
20070061,트랜스포머,20070628
20060404,허니와 클로버,20070111
20070152,마음,20070510
20070163,달은 어디에 떠 있는가,20070503
20070522,라 비 앙 로즈,20071121
20070435,식객,20071101
20070063,해리 포터와 불사조 기사단,20070711
20070202,초속5센티미터,20070621
20060423,드림걸즈,20070222
20070262,기담,20070801
20070358,어머니는 죽지 않는다,20070912
20070393,브라보 마이 라이프,20070906
20070456,비커밍 제인,20071011
20060410,황후화,20070125
20070115,밀양,20070523
20070427,여름 궁전,20070913
20070206,두 번째 사랑,20070621
20070643,헨젤과 그레텔,20071227
20060389,오래된 정원,20070104
20070602,마녀배달부 키키,20071122
20070237,썸머 스톰,20070815
20070390,카모메 식당,20070802
20070127,용호문,20070510
20070502,오다기리 죠의 도쿄타워,20071025
20070437,퍼펙트 스트레인저,20070829
20070035,훌라걸스,20070301
20070497,궁녀,20071018
20070666,수용소의 삶 : 디지털 삼인삼색 2007,20071129
20070635,헤어스프레이,20071206
20071004,다즐링 주식회사,20071213
20060366,메리 크리스마스,20071220
20070252,레이디 채털리,20070711
20060430,행복을 찾아서,20070228
20070264,라따뚜이,20070725
20070034,그 여자 작사 그 남자 작곡,20070228
20070037,페인티드 베일,20070315
20070552,은하해방전선,20071129
20070377,방황의 날들,20070907
20070014,1번가의 기적,20070214
20060417,최강로맨스,20070125
20060408,천년여우 여우비,20070125
20060405,데스노트 : 라스트 네임,20070110
20070023,어깨 너머의 연인,20071018
20070466,세븐 데이즈,20071114
20070500,펀치레이디,20071025
20060230,전설의 고향,20070523
20070126,이대근 이 댁은,20070501
20070109,파란자전거,20070419
20070418,괜찮아 울지마,20070830
20070289,리턴,20070808
20070367,지금 사랑하는 사람과 살고 있습니까?,20070815
20070421,권순분여사 납치사건,20070912
20070380,즐거운 인생,20070913
20070434,바르게 살자,20071018
20072520,우리 동네,20071129
20070610,싸움,20071212
20060403,언니가 간다,20070104
20060407,마파도2,20070118
20070015,그놈 목소리,20070201
20070637,색즉시공 시즌2,20071212
20070089,만남의 광장,20070815
20070151,못말리는 결혼,20070510
20070084,이장과 군수,20070329
20070042,좋지 아니한가,20070301
20070066,수,20070322
20070097,동갑내기 과외하기 레슨 2,20070419
20070111,아들,20070501
20070205,검은 집,20070621
20060421,바람피기 좋은 날,20070208
20070394,철콘 근크리트,20070802
20060418,"사랑해, 파리",20070201
20070226,"뉴욕에서 온 남자, 파리에서 온 여자",20070719
20070020,복면달호,20070214
20070422,본 얼티메이텀,20070912
20070095,아내의 애인을 만나다,20070426
20070316,디워,20070801
20081430,아가타와 끝없는 독서,20081017
20080833,다찌마와리,20080814
20080052,밤과 낮,20080228
20080496,전원에 죽다,20080422
20080223,내겐 너무 사랑스러운 그녀,20080320
20081136,렛 미 인,20081113
20080379,포비든 킹덤: 전설의 마스터를 찾아서,20080424
20050086,사과,20081016
20071068,별별 이야기 2-여섯 빛깔 무지개,20080417
20081426,캘커타 사막의 베니스라는 그의 이름,20081018
20080154,밑바닥,20080301
20070548,6년째 연애중,20080205
20070591,나의 노래는,20080424
20070589,여기보다 어딘가에,20080821
20081056,다크 나이트,20080806
20081391,미쓰 홍당무,20081016
20081677,마음의 속삭임,20081127
20080035,크레이지,20080205
20080653,쿵푸 팬더,20080605
20081169,맘마미아!,20080903
20081445,굿바이,20081030
20081701,그래도 내가 하지 않았어,20081211
20081395,아내가 결혼했다,20081023
20080337,테이큰,20080409
20081057,월ㆍE,20080806
20080477,카라멜,20080904
20072152,"좋은 놈, 나쁜 놈, 이상한 놈 ",20080717
20080637,서양 골동 양과자점 앤티크,20081113
20080834,당신이 잠든 사이에,20080814
20080142,마이 뉴 파트너,20080306
20071060,걸스카우트,20080605
20061223,소년은 울지 않는다,20081106
20070382,우리 생애 최고의 순간,20080110
20080034,잠수종과 나비,20080214
20080227,아임 낫 데어,20080529
20081552,피아노의 숲,20081030
20080024,오퍼나지: 비밀의계단,20080214
20080335,애프터 웨딩,20080417
20071066,말할 수 없는 비밀,20080110
20080289,비투스,20080409
20080259,작별,20080327
20080649,해바라기 가족,20080509
20081002,멋진 하루,20080925
20081273,두 개의 눈을 가진 아일랜드,20080918
20081336,자유로운 세계,20080925
20080011,원스어폰어타임,20080131
20080394,비스티 보이즈,20080430
20081244,울학교 이티,20080911
20080046,추격자,20080214
20080890,순정만화,20081127
20072686,모던보이,20081002
20080517,페르세폴리스,20080508
20081447,콰이어트 맨,20081127
20080828,도화선,20080612
20081697,트와일라잇,20081210
20080667,그들 각자의 영화관,20080515
20070473,러브 인 클라우즈,20081231
20072067,어느날 그 길에서,20080327
20080060,리벤지45,20080228
20080513,갓파 쿠와 여름방학을,20080626
20080071,노인을 위한 나라는 없다,20080221
20080984,리피피,20080809
20081611,미인도,20081113
20080846,인디애니박스:셀마의 단백질 커피,20080620
20080222,나도 모르게,20080320
20080226,숙명,20080320
20061233,쇼킹패밀리,20080508
20080143,데어 윌 비 블러드,20080306
20080078,람보 4 : 라스트 블러드,20080228
20081179,범죄에 대한 수필(아르치발도 드 라 크루즈의 범죄 인생),20080822
20081673,오스트레일리아,20081210
20081664,럼블 피쉬,20081124
20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,20080409
20080677,우린 액션배우다,20080828
20080935,에드워드 2세,20080629
20080062,데스노트 L: 새로운 시작,20080221
20081716,쌍화점,20081230
20061221,"나의 친구, 그의 아내",20081127
20081132,아기와 나,20080814
20071675,더 게임,20080130
20070291,무림여대생,20080626
20080105,집결호,20080306
20080750,달콤한 거짓말,20081218
20071064,무방비도시,20080110
20070660,뜨거운 것이 좋아,20080117
20081001,신기전,20080904
20071067,슈퍼맨이었던 사나이,20080131
20080736,강철중: 공공의 적 1-1,20080619
20080930,천사의 대화,20080628
20080077,워,20080228
20081672,과속스캔들,20081203
20081668,초감각 커플,20081127
20080243,존 휴스턴 회고전-비트 더 데블,20080315
20072148,GP 506,20080403
20072687,경축! 우리사랑,20080410
20080764,님은 먼 곳에,20080724
20080328,미운 오리 새끼의 모험,20080403
20081331,동키호테,20080925
20081058,고死 : 피의 중간고사,20080807
20081243,영화는 영화다,20080911
20090203,내 남자의 아내도 좋아,20090415
20090161,슬럼독 밀리어네어,20090319
20090586,알제리 전투,20091015
20090340,걸어도 걸어도,20090618
20090307,국가대표,20090729
20090237,김씨표류기,20090514
20090015,적벽대전 2 : 최후의 결전,20090122
20090667,파주,20091028
20090805,돌멩이의 꿈,20091210
20081649,낙타는 말했다,20091113
20090264,"바다 쪽으로, 한 뼘 더",20090521
20090500,황금시대,20090910
20090786,시간의 춤,20091203
20090445,썸머 워즈,20090813
20090042,핸드폰,20090219
20090379,해리 포터와 혼혈 왕자,20090715
20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,20091224
20080266,"지금, 이대로가 좋아요",20090423
20090578,바스터즈: 거친 녀석들,20091028
20090077,전우치,20091223
20090588,브로큰 임브레이스,20091119
20081656,제불찰씨 이야기,20090312
20090842,로망은 없다,20091210
20090844,여자 없는 세상,20091210
20090843,너와 나의 21세기,20091210
20090037,24 시티,20090129
20090841,나는 곤경에 처했다!,20091210
20081616,그녀들의 방,20090312
20081661,어떤 개인 날,20090312
20081648,장례식의 멤버,20090312
20090248,마더,20090528
20090528,페임,20090924
20090321,애니 레보비츠: 렌즈를 통해 들여다본 삶,20090611
20090207,엽문,20090416
20081396,사람을 찾습니다,20091217
20090590,청담보살,20091111
20090328,여행자,20091029
20090258,로니를 찾아서,20090604
20090312,토끼와 리저드,20091022
20090076,나는 행복합니다,20091126
20090261,잘 알지도 못하면서,20090514
20090344,요시노 이발관,20090625
20090557,호우시절,20091008
20090839,친구사이?,20091217
20090574,헬로우 마이 러브,20091008
20081209,낮술,20090205
20090838,판타스틱 Mr. 폭스,20091224
20090834,아바타,20091217
20090854,줄리 & 줄리아,20091210
20090054,고갈,20090903
20080576,3xFTM,20090604
20080870,마린보이,20090205
20090064,그랜 토리노,20090319
20090425,블랙,20090827
20090391,업,20090729
20090024,벤자민 버튼의 시간은 거꾸로 간다,20090212
20090074,해운대,20090722
20090434,불신지옥,20090812
20090159,약탈자들,20090618
20090023,작전,20090212
20090035,똥파리,20090416
20090510,이태원 살인사건,20090910
20090530,섹스 드라이브,20090917
20090664,시간 여행자의 아내,20091028
20090427,지.아이.조 : 전쟁의 서막,20090806
20090724,내 눈에 콩깍지,20091105
20090065,더 리더: 책 읽어주는 남자,20090326
20090438,피쉬 스토리,20090730
20090605,굿모닝 프레지던트,20091022
20090600,신부의 수상한 여행가방,20091029
20090305,백야행,20091119
20090311,시크릿,20091203
20090051,차우,20090715
20090308,불꽃처럼 나비처럼,20090924
20090225,인사동 스캔들,20090429
20081737,7급 공무원,20090422
20080747,라라 선샤인,20091022
20081006,시선 1318,20090611
20090029,알파독,20090129
20081727,워낭소리,20090115
20090489,벨라,20091001
20090156,그림자 살인,20090402
20090329,내 사랑 내 곁에,20090924
20081617,푸른 강은 흘러라,20091008
20090292,반두비,20090625
20090188,소명,20090402
20081003,박쥐,20090430
20090297,거북이 달린다,20090611
20090022,키친,20090205
20090336,킹콩을 들다,20090701
20090823,비상,20091203
20090484,애자,20090909
20090389,10억,20090806
20090327,여고괴담 5,20090618
20090146,펜트하우스 코끼리,20091105
20090562,정승필 실종사건,20091008
20090075,"히말라야, 바람이 머무는 곳",20090611
20090822,바람,20091126
20090517,처음 본 그녀에게 프로포즈하기,20090909
20081512,악마가 너의 죽음을 알기전에,20090514
20100077,포스 카인드,20100225
20100103,셔터 아일랜드,20100318
20100787,옥희의 영화,20100916
20100019,여행,20100520
20100073,예언자,20100311
20090683,500일의 썸머,20100121
20101224,해리 포터와 죽음의 성물1,20101215
20101014,워리어스 웨이,20101201
20100979,검우강호,20101014
20081654,"빗자루, 금붕어 되다",20100930
20100355,뒤에서 앞에서,20100624
20100354,"단지처, 오후의 정사",20100624
20100034,채식주의자,20100218
20100264,그녀에게,20100513
20100055,뭘 또 그렇게까지,20100429
20101386,지옥,20101214
20100191,시,20100513
20100301,악마를 보았다,20100812
20100130,공기인형,20100408
20100312,인셉션,20100721
20100076,밀크,20100225
20101028,조금만 더 가까이,20101028
20101110,레인보우,20101118
20101116,테라 3D: 인류 최후의 전쟁,20101104
20101013,소셜 네트워크,20101118
20100176,허트 로커,20100422
20090914,하모니,20100128
20100788,마법천자문: 대마왕의 부활을 막아라,20100819
20100061,땅의 여자,20100909
20100206,꿈은 이루어진다,20100527
20100962,"울지마, 톤즈",20100909
20101193,하트 비트,20101125
20090916,8인: 최후의 결사단,20100121
20100365,하얀리본,20100701
20100311,엽문2,20100616
20109031,할 수 있는 자가 구하라,20101201
20101115,히어로,20101118
20101200,김종욱 찾기,20101208
20100214,아저씨,20100804
20090034,탈주,20100902
20101040,소와 함께 여행하는 법,20101103
20100286,귀 鬼,20100610
20100027,회복,20100114
20090904,의형제,20100204
20100737,잊혀진 가방,20100729
20090742,멘탈,20100408
20100018,타이탄,20100401
20090610,경계도시 2,20100318
20100190,드래곤 길들이기,20100520
20100213,부당거래,20101028
20100833,무적자,20100916
20100202,하하하,20100505
20100316,청설,20100617
20100036,키사라기 미키짱,20100211
20101339,브라보! 재즈 라이프,20101216
20100261,싱글맨,20100527
20100807,뮬란: 전사의 귀환,20100902
20101070,언스토퍼블,20101110
20090852,이웃집 좀비,20100218
20102420,엑시던트,20101230
20100796,아바타 3D 스페셜에디션,20100904
20101047,하비의 마지막 로맨스,20101028
20100473,유키와 니나,20100715
20100039,하치 이야기,20100218
20101109,두 여자,20101118
20100203,참새들의 합창,20100505
20090928,회오리 바람,20100225
20101067,스카이 크롤러,20101028
20100377,토이 스토리 3,20100805
20100188,하녀,20100513
20101223,헬로우 고스트,20101222
20100326,고死 두 번째 이야기: 교생실습,20100728
20100305,해결사,20100909
20100075,무법자,20100318
20101097,트럭 운전사 나미1,20101105
20100363,분홍돌고래,20100701
20101222,황해,20101222
20101038,대지진,20101104
20100474,쉬즈 더 원,20100715
20090874,페어러브,20100114
20090895,주유소 습격사건 2,20100121
20090160,평행이론,20100218
20090927,방자전,20100602
20100209,이끼,20100714
20101004,된장,20101021
20090901,"시네도키, 뉴욕",20100107
20100281,김복남 살인사건의 전말,20100902
20101010,초능력자,20101110
20100302,심야의 F.M.,20101014
20100296,포화속으로,20100616
20100835,방가? 방가!,20100930
20101066,맛있는 인생,20101028
20100210,맨발의 꿈,20100624
20100329,그랑프리,20100916
20100834,시라노; 연애조작단,20100916
20100131,베스트셀러,20100415
20090888,용서는 없다,20100107
20100197,7월 32일,20100422
20101113,이층의 악당,20101124
20100256,내 깡패 같은 애인,20100520
