movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
670,올드보이,올드보이,2003-11-21,3000000,17500000,8.252,120,2003,11,10099,박찬욱,64880|10112|1299317|77182|77180|77188|554330|117504|77183|587675,최민식|유지태|강혜정|김병옥|지대한|오달수|이승신|윤진서|오태경|유연석
1255,괴물,괴물,2006-07-27,11000000,88489643,6.98,119,2006,7,21684,봉준호,20738|116180|21687|21688|21689|77188|1307736|1180191|141541|94003,송강호|변희봉|박해일|배두나|고아성|오달수|이재응|Lee Dong-ho|윤제문|임필성
1963,활,활,2005-05-12,950000,2032404,6.921,88,2005,5,1188,김기덕,16262|20265|20263|20264|2463806|3788523|1074064|3643729|2208663,Han Yeo-reum|전성환|서지석|전국환|김익태|Jang Dae-sung|Jo Hyun-wu|Shin Taek-gi|Pyo Sang-woo
2015,밀양,밀양,2007-05-23,2900000,11581469,7.193,142,2007,5,96657,이창동,20737|20738|96467|2775961|135850|96663|2204431|2344102|2158882|141548,전도연|송강호|조영진|선정엽|김영재|박명신|차미경|오만석|장혜진|이성민
10253,디 워,디 워,2007-08-01,32000000,75108998,4.525,92,2007,8,64331,심형래,20386|64341|5694|64342|56457|15824|64343|7430|64344|1578,Jason Behr|Amanda Brooks|Robert Forster|Craig Robinson|Aimee Garcia|Chris Mulkey|John Ales|Elizabeth Peña|Billy Gardell|Holmes Osborne
14968,웰컴 투 동막골,웰컴 투 동막골,2005-08-04,8000000,33579813,7.445,133,2005,8,117370,박광현,83682|25004|1299317|117378|239927|117376|117377|1075471|230362|2275979,정재영|신하균|강혜정|Steve Taschler|임하룡|Seo Jae-kyeong|류덕환|Jung Jae-jin|조덕현|Hong Ye-In
17903,쌍화점,쌍화점,2008-12-30,10000000,18980744,6.899,132,2008,12,1294627,유하,127564|17122|85174|105612|1256497|1342876|138336|1222950|1489519|150698,조인성|주진모|송지효|Shim Ji-ho|서영주|현우|조진웅|임주환|Yeo Wook-hwan|송중기
18514,두번째 사랑,두번째 사랑,2007-06-20,3500000,689473,6.6,90,2007,6,145359,Gina Kim,21657|75913|145360|145362|54124|5373|145361|103375|74575|1223957,Vera Farmiga|하정우|David Lee McInnis|Shirley Roeca|Marceline Hugot|Trisha LaFache|Joseph Y. Kim|Becky London|Robert Dahey|Jackson Pace
19627,무림여대생,무림여대생,2008-06-26,7000000,162256,6.519,118,2008,6,63429,곽재용,84980|116175|1046709|63444|63440|1180185|63442|1621345|1567063,온주완|신민아|유건|정호빈|임예진|최재성|차태현|박휘순|Yoo Soon-chul
22536,박쥐,박쥐,2009-04-30,5000000,13085023,7.097,133,2009,4,10099,박찬욱,20738|1059584|93252|25004|1277308|88298|77188|25078|1128087|567621,송강호|김옥빈|김해숙|신하균|박인환|송영창|오달수|Ériq Ebouaney|서동수|최희진
25597,헨젤과 그레텔,헨젤과 그레텔,2007-12-27,4000000,2206625,6.7,116,2007,12,94003,임필성,93994|94000|93995|93997|93999|93996|227441|1073874|1988107,천정명|Eun Won-jae|심은경|진지희|박희순|장영남|김경익|고준희|Park Lydia
30018,마더,마더,2009-05-28,5000000,17112713,7.709,128,2009,5,21684,봉준호,126478|70336|1299287|141541|994248|1299516|2119920|2119921|1263930|2119922,김혜자|원빈|진구|윤제문|전미선|송새벽|이영석|문희라|천우희|Kim Byeong-soon
33196,해운대,해운대,2009-07-22,16000000,71641901,6.9,129,2009,7,84852,윤제균,85008|83220|121148|121149|1299351|235338|115904|1080904|140335|496935,설경구|하지원|박중훈|엄정화|이민기|강예원|김인권|송재호|김유정|성병숙
35010,슈퍼맨이었던 사나이,슈퍼맨이었던 사나이,2008-01-31,4250000,3848034,7.4,102,2008,1,113579,정윤철,68903|63436|93997|553838|1296075|577397|140317|1029156|1162595|509648,황정민|전지현|진지희|도용구|선우선|김재록|박용수|이상엽|Woo Ki-hong|조희봉
43212,내 깡패 같은 애인,내 깡패 같은 애인,2010-05-20,800000,4214668,6.8,105,2010,5,1139243,Kim Kwang-sik,121148|127720|79574|560068|240082|1564168|145955|554025|2133345|2240042,박중훈|정유미|박원상|정우혁|정인기|Kwon Yul|민경진|양은용|No Seung-beom|윤가현
